C:\Users\hxri\miniconda3\envs\cogppo\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
t:  16%|███████████████                                                                              | 42/259 [00:00<00:00, 416.07it/s, now=None]
global_step=272, episodic_return=0.760937511920929
SPS:  114
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682934545\rl-video-episode-0.mp4.

Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682934545\rl-video-episode-0.mp4
global_step=65348, episodic_return=0.0
SPS:  326
global_step=65876, episodic_return=0.0
SPS:  326
global_step=66244, episodic_return=0.0
global_step=66280, episodic_return=0.0
global_step=66372, episodic_return=0.0
SPS:  326
global_step=66900, episodic_return=0.0
SPS:  326
global_step=67268, episodic_return=0.0
global_step=67304, episodic_return=0.0
global_step=67396, episodic_return=0.0
SPS:  326
global_step=67924, episodic_return=0.0
SPS:  326
global_step=68292, episodic_return=0.0
global_step=68328, episodic_return=0.0
global_step=68420, episodic_return=0.0
SPS:  325
global_step=68948, episodic_return=0.0
SPS:  326
global_step=69316, episodic_return=0.0
global_step=69352, episodic_return=0.0
global_step=69444, episodic_return=0.0
SPS:  326
global_step=69972, episodic_return=0.0
SPS:  326
global_step=70340, episodic_return=0.0
global_step=70376, episodic_return=0.0
global_step=70468, episodic_return=0.0
SPS:  326
global_step=70996, episodic_return=0.0
SPS:  325
global_step=71364, episodic_return=0.0
global_step=71400, episodic_return=0.0
global_step=71492, episodic_return=0.0
SPS:  325
global_step=72020, episodic_return=0.0
SPS:  326
global_step=72388, episodic_return=0.0
global_step=72424, episodic_return=0.0
global_step=72516, episodic_return=0.0
SPS:  326
global_step=73044, episodic_return=0.0
SPS:  326
global_step=73412, episodic_return=0.0
global_step=73448, episodic_return=0.0
global_step=73540, episodic_return=0.0
SPS:  326
global_step=74068, episodic_return=0.0
SPS:  325
global_step=74436, episodic_return=0.0
global_step=74472, episodic_return=0.0
global_step=74564, episodic_return=0.0
SPS:  325
global_step=75092, episodic_return=0.0
SPS:  325
global_step=75460, episodic_return=0.0
global_step=75496, episodic_return=0.0
global_step=75588, episodic_return=0.0
SPS:  325
global_step=76116, episodic_return=0.0
SPS:  325
global_step=76484, episodic_return=0.0
global_step=76520, episodic_return=0.0
global_step=76612, episodic_return=0.0
SPS:  325
global_step=77140, episodic_return=0.0
SPS:  325
global_step=77508, episodic_return=0.0
global_step=77544, episodic_return=0.0
global_step=77636, episodic_return=0.0
SPS:  325
global_step=78164, episodic_return=0.0
SPS:  325
global_step=78532, episodic_return=0.0
global_step=78568, episodic_return=0.0
global_step=78660, episodic_return=0.0
SPS:  325
global_step=79188, episodic_return=0.0
SPS:  325
global_step=79556, episodic_return=0.0
global_step=79592, episodic_return=0.0
global_step=79684, episodic_return=0.0
SPS:  324
global_step=80212, episodic_return=0.0
SPS:  324
global_step=80580, episodic_return=0.0
global_step=80616, episodic_return=0.0
global_step=80708, episodic_return=0.0
SPS:  324
global_step=81236, episodic_return=0.0
SPS:  324
global_step=81604, episodic_return=0.0
global_step=81640, episodic_return=0.0
global_step=81732, episodic_return=0.0
SPS:  324
global_step=82260, episodic_return=0.0
SPS:  324
global_step=82628, episodic_return=0.0
global_step=82664, episodic_return=0.0
global_step=82756, episodic_return=0.0
SPS:  323
global_step=83284, episodic_return=0.0
SPS:  322
global_step=83652, episodic_return=0.0
global_step=83688, episodic_return=0.0
global_step=83780, episodic_return=0.0
SPS:  322
global_step=84308, episodic_return=0.0
SPS:  322
global_step=84676, episodic_return=0.0
global_step=84712, episodic_return=0.0
global_step=84804, episodic_return=0.0
SPS:  322
global_step=85332, episodic_return=0.0
SPS:  322
global_step=85700, episodic_return=0.0
global_step=85736, episodic_return=0.0
global_step=85828, episodic_return=0.0
SPS:  321
global_step=86356, episodic_return=0.0
SPS:  321
global_step=86724, episodic_return=0.0
global_step=86760, episodic_return=0.0
global_step=86852, episodic_return=0.0
SPS:  321
global_step=87380, episodic_return=0.0
SPS:  321
global_step=87748, episodic_return=0.0
global_step=87784, episodic_return=0.0
global_step=87876, episodic_return=0.0
SPS:  321
global_step=88404, episodic_return=0.0
SPS:  321
global_step=88772, episodic_return=0.0
global_step=88808, episodic_return=0.0
global_step=88900, episodic_return=0.0
SPS:  321
global_step=89428, episodic_return=0.0
SPS:  320
global_step=89796, episodic_return=0.0
global_step=89832, episodic_return=0.0
global_step=89924, episodic_return=0.0
SPS:  320
global_step=90452, episodic_return=0.0
SPS:  320
global_step=90820, episodic_return=0.0
global_step=90856, episodic_return=0.0
global_step=90948, episodic_return=0.0
SPS:  320
global_step=91476, episodic_return=0.0
SPS:  320
global_step=91844, episodic_return=0.0
global_step=91880, episodic_return=0.0
global_step=91972, episodic_return=0.0
SPS:  319
global_step=92500, episodic_return=0.0
SPS:  319
global_step=92868, episodic_return=0.0
global_step=92904, episodic_return=0.0
global_step=92996, episodic_return=0.0
SPS:  319
global_step=93524, episodic_return=0.0
SPS:  320
global_step=93892, episodic_return=0.0
global_step=93928, episodic_return=0.0
global_step=94020, episodic_return=0.0
SPS:  320
global_step=94548, episodic_return=0.0
SPS:  320
global_step=94916, episodic_return=0.0
global_step=94952, episodic_return=0.0
global_step=95044, episodic_return=0.0
SPS:  320
global_step=95572, episodic_return=0.0
SPS:  320
global_step=95940, episodic_return=0.0
global_step=95976, episodic_return=0.0
global_step=96068, episodic_return=0.0
SPS:  320
global_step=96596, episodic_return=0.0
SPS:  320
global_step=96964, episodic_return=0.0
global_step=97000, episodic_return=0.0
global_step=97092, episodic_return=0.0
SPS:  320
global_step=97620, episodic_return=0.0
SPS:  320
global_step=97988, episodic_return=0.0
global_step=98024, episodic_return=0.0
global_step=98116, episodic_return=0.0
SPS:  320
global_step=98644, episodic_return=0.0
SPS:  320
global_step=99012, episodic_return=0.0
global_step=99048, episodic_return=0.0
global_step=99140, episodic_return=0.0
SPS:  320
global_step=99668, episodic_return=0.0
SPS:  320
global_step=100036, episodic_return=0.0
global_step=100072, episodic_return=0.0
global_step=100164, episodic_return=0.0
SPS:  320
global_step=100692, episodic_return=0.0
SPS:  321
global_step=101060, episodic_return=0.0
global_step=101096, episodic_return=0.0
global_step=101188, episodic_return=0.0
SPS:  321
global_step=101716, episodic_return=0.0
SPS:  321
